Gene	class
Tb09.160.0560	4
Tb09.160.3540	4
Tb09.160.4760	4
Tb09.160.5010	4
Tb09.211.0220	4
Tb09.211.0250	4
Tb09.211.1770	4
Tb09.211.2020	4
Tb09.211.2180	4
Tb09.211.2430	4
Tb09.211.2610	4
Tb09.211.2910	4
Tb09.211.4190	4
Tb09.244.2660	4
Tb09.244.2700	4
Tb09.244.2750	4
Tb09.244.2840	4
Tb11.01.0480	4
Tb11.01.1090	4
Tb11.01.1310	4
Tb11.01.1340	4
Tb11.01.2030	4
Tb11.01.2280	4
Tb11.01.2450	4
Tb11.01.2650	4
Tb11.01.3980	4
Tb11.01.4290	4
Tb11.01.4480	4
Tb11.01.4630	4
Tb11.01.4700	4
Tb11.01.4701	4
Tb11.01.5080	4
Tb11.01.5600	4
Tb11.01.5920	4
Tb11.01.6440	4
Tb11.01.6660	4
Tb11.01.6800	4
Tb11.01.8130	4
Tb11.01.8200	4
Tb11.01.8380	4
Tb11.01.8470	4
Tb11.01.8710	4
Tb11.02.0250	4
Tb11.02.0890	4
Tb11.02.1370	4
Tb11.02.1470	4
Tb11.02.1640	4
Tb11.02.2110	4
Tb11.02.2500	4
Tb11.02.3570	4
Tb11.02.3770	4
Tb11.02.3890	4
Tb11.02.4530	4
Tb11.02.5270	4
Tb11.02.5610	4
Tb11.02.5640	4
Tb11.12.0008	4
Tb11.12.0010	4
Tb11.12.0015	4
Tb11.17.0004	4
Tb11.42.0002	4
Tb11.47.0022	4
Tb11.55.0020	4
Tb927.1.1750	4
Tb927.1.1820	4
Tb927.1.3000	4
Tb927.1.3450	4
Tb927.1.3730	4
Tb927.1.4400	4
Tb927.1.4900	4
Tb927.1.5110	4
Tb927.10.10610	4
Tb927.10.10870	4
Tb927.10.11030	4
Tb927.10.12090	4
Tb927.10.12330	4
Tb927.10.12470	4
Tb927.10.13330	4
Tb927.10.13850	4
Tb927.10.13860	4
Tb927.10.13990	4
Tb927.10.14520	4
Tb927.10.14680	4
Tb927.10.14690	4
Tb927.10.14930	4
Tb927.10.150	4
Tb927.10.15660	4
Tb927.10.180	4
Tb927.10.1800	4
Tb927.10.1810	4
Tb927.10.2290	4
Tb927.10.2400	4
Tb927.10.2610	4
Tb927.10.300	4
Tb927.10.3480	4
Tb927.10.380	4
Tb927.10.4470	4
Tb927.10.4790	4
Tb927.10.4870	4
Tb927.10.5220	4
Tb927.10.5430	4
Tb927.10.5690	4
Tb927.10.6130	4
Tb927.10.6240	4
Tb927.10.6370	4
Tb927.10.6610	4
Tb927.10.6830	4
Tb927.10.7170	4
Tb927.10.7410	4
Tb927.10.7570	4
Tb927.10.7710	4
Tb927.10.7760	4
Tb927.10.7900	4
Tb927.10.7960	4
Tb927.10.8980	4
Tb927.10.9060	4
Tb927.10.910	4
Tb927.10.9270	4
Tb927.2.1740	4
Tb927.2.2210	4
Tb927.2.2490	4
Tb927.2.3620	4
Tb927.2.4550	4
Tb927.2.4620	4
Tb927.2.4700	4
Tb927.2.4800	4
Tb927.3.1080	4
Tb927.3.1590	4
Tb927.3.1960	4
Tb927.3.2010	4
Tb927.3.2250	4
Tb927.3.2300	4
Tb927.3.2490	4
Tb927.3.2550	4
Tb927.3.2670	4
Tb927.3.2980	4
Tb927.3.3170	4
Tb927.3.3470	4
Tb927.3.3910	4
Tb927.3.4970	4
Tb927.3.5590	4
Tb927.3.800	4
Tb927.4.1240	4
Tb927.4.2250	4
Tb927.4.2280	4
Tb927.4.2500	4
Tb927.4.2690	4
Tb927.4.2760	4
Tb927.4.3720	4
Tb927.4.4860	4
Tb927.4.4970	4
Tb927.4.5060	4
Tb927.4.5160	4
Tb927.4.5440	4
Tb927.4.580	4
Tb927.5.1120	4
Tb927.5.1170	4
Tb927.5.1310	4
Tb927.5.1370	4
Tb927.5.1440	4
Tb927.5.1710	4
Tb927.5.1820	4
Tb927.5.2280	4
Tb927.5.2300	4
Tb927.5.2360	4
